hash,blockNumber,timeStamp,from,to,value_LPT
0xc1c8705307663691f29522024bcc916af3fc93202796a62340625c3f72e16545,17771305,1690302551,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,4550.0
0xe0cbcf22a8e363847e46403d0e5b0a3a78ac18b3a2f7b27b47456b04a763d98e,17771306,1690302563,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,3535.0000000000005
0xdd0588cb6afe6ed7e9a54ad934a415155e3f53721aa83aa676c71594d4ab9938,17771316,1690302683,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,4474.0
0x09fad81141757fadd42b1f204b8efef86f7c8c7cd119a495730b26afc136d19a,17790936,1690539803,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,4836.0
0xd6c0bce4a489482ac8b1834d9c7ee278d68eaa9dfaf4a4f54ad3c251075e1885,17866191,1691449223,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,699536.213
0x3c44b7b179983897975f036b58e930e24507ffbee129bcbe470c5f9714f86a29,17878414,1691597003,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,256157.87900000002
0x26f0bd777e8a42928723a1c43318bc92f28bac5fb5c574e2e0039f723446f8f1,17878414,1691597003,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,191410.014
0x97ba72683ea70f505514242c94cd6f0eec376587bd435833b6c5825560a6fddd,17878414,1691597003,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,969312.3470000001
0x04a9ae8f0aed2725a2cbdeb4390ae5f4cd91746a02b4116bd4a1ace130c7e5f1,17895087,1691798615,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,543720.424
0x34e29e972b8d64c0e7bf64cd010edbaf02d25d7f65c1243d74f58483c2b3a53e,17895087,1691798615,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,23944.659
0xe917291108663ac64e592fda9b70c8e9a976673dd1caa7bf4da7ea35d5f7cbaa,17903937,1691905535,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,1084545.323
0x9838f03294b08bf9a0db653d8ae4936aac2ca64349184c80e41188ea2138e757,17926169,1692174143,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,33420.076
0xb0066bfab9a7b7261fe313f0ef8daf9032ecb04729ca457a0b8682eae0306489,17926169,1692174143,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,101849.474
0x4d96247ea4ac99d2770e7121ca1ef5726c5651989934fc8d534d01edbe0d0146,17926169,1692174143,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,492768.23600000003
0xd2e7a4291c3056d7cbdc8921ed4ed9eab9b4fb6702dbc17ba5fd4f95a22b66df,17932822,1692254579,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,201807.99300000002
0x5e77be2c66e35d7da034a1b5e3235d42f47bdcc34d95ce4be40e784abe832502,17935304,1692284531,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,182197.64
0x4a4c3e8443596e16fccffd73bad21e30655bb430c6bed00d0719254e8d54b756,17956821,1692544943,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,612043.419
0x727e37dac0e0916df0a49c4015bad82ee032564c33d78f03bc4b0a0cb0f75802,17956825,1692544991,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,317907.07999999996
0x76a1cd96a32fa5bdcfe1a94754ed0188c1e227debc32a0e20d0ec2c8fa3ed842,17971728,1692725135,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,9310.0
0x49085e809234c7f28f009bc0fce4ddbe354142a16b5a9caf2c50777460e63240,17971733,1692725195,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,5793.0
0x4c337a088870cdca42641ac66439b97825f641d5b8080a86904dc05922ee5227,17982109,1692850451,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,1021424.08
